Style,Type,Density,Part_Width,Manufacturer,C_MEM_REG_DIMM,memory_total_data_width,C_MEM_PARTNO,C_MEM_PART_DATA_DEPTH,C_MEM_PART_DATA_WIDTH,C_MEM_PART_NUM_BANK_BITS,C_MEM_PART_NUM_ROW_BITS,C_MEM_PART_NUM_COL_BITS,C_MEM_PART_TRAS,C_MEM_PART_TRASMAX,C_MEM_PART_TRC,C_MEM_PART_TRCD,C_MEM_PART_TDQSS,C_MEM_PART_TWR,C_MEM_PART_TRP,C_MEM_PART_TMRD,C_MEM_PART_TRRD,C_MEM_PART_TRFC,C_MEM_PART_TREFI,C_MEM_PART_TAL,C_MEM_PART_TCCD,C_MEM_PART_TWTR,C_MEM_PART_TRTP,C_MEM_PART_CAS_A_FMAX,C_MEM_PART_CAS_A,C_MEM_PART_CAS_B_FMAX,C_MEM_PART_CAS_B,C_MEM_PART_CAS_C_FMAX,C_MEM_PART_CAS_C,C_MEM_PART_CAS_D_FMAX,C_MEM_PART_CAS_D,C_MEM_CLK_WIDTH,C_MEM_ODT_WIDTH,C_MEM_CE_WIDTH,C_MEM_CS_N_WIDTH,C_MEM_NUM_RANKS
Discrete,DDR,128Mb,x8,Hynix,0,0,HY5DU28822ET-H,16,8,2,12,10,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,15600000,,,,,100,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x8,Hynix,0,0,HY5DU28822ET-J,16,8,2,12,10,42000,120000000,60000,18000,1,15000,18000,2,12000,72000,15600000,,,,,133,2,166,2.5,166,3,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x8,Hynix,0,0,HY5DU28822ET-K,16,8,2,12,10,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,15600000,,,,,133,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x8,Hynix,0,0,HY5DU28822ET-L,16,8,2,12,10,50000,120000000,70000,20000,1,15000,20000,2,15000,80000,15600000,,,,,100,2,125,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x8,Hynix,0,0,HY5DU28822ET-M,16,8,2,12,10,45000,120000000,60000,15000,1,15000,15000,2,15000,75000,15600000,,,,,133,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x8,Hynix,0,0,HY5DU28822ETP-H,16,8,2,12,10,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,15600000,,,,,100,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x8,Hynix,0,0,HY5DU28822ETP-J,16,8,2,12,10,42000,120000000,60000,18000,1,15000,18000,2,12000,72000,15600000,,,,,133,2,166,2.5,166,3,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x8,Hynix,0,0,HY5DU28822ETP-K,16,8,2,12,10,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,15600000,,,,,133,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x8,Hynix,0,0,HY5DU28822ETP-L,16,8,2,12,10,50000,120000000,70000,20000,1,15000,20000,2,15000,80000,15600000,,,,,100,2,125,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x8,Hynix,0,0,HY5DU28822ETP-M,16,8,2,12,10,45000,120000000,60000,15000,1,15000,15000,2,15000,75000,15600000,,,,,133,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,256Mb,x16,Hynix,0,0,HY5DU561622E(L)FP-D43,16,16,2,13,9,40000,70000000,55000,15000,1,15000,15000,2,10000,70000,7800000,,,,,200,3,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR,256Mb,x16,Hynix,0,0,HY5DU561622E(L)FP-H,16,16,2,13,9,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,7800000,,,,,100,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,256Mb,x16,Hynix,0,0,HY5DU561622E(L)FP-J,16,16,2,13,9,42000,70000000,60000,18000,1,15000,18000,2,12000,72000,7800000,,,,,133,2,166,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,256Mb,x16,Hynix,0,0,HY5DU561622E(L)FP-K,16,16,2,13,9,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,7800000,,,,,133,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,256Mb,x16,Hynix,0,0,HY5DU561622E(L)FP-L,16,16,2,13,9,50000,120000000,70000,20000,1,15000,20000,2,15000,80000,7800000,,,,,100,2,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR,256Mb,x8,Hynix,0,0,HY5DU56822E(L)FP-D43,32,8,2,13,10,40000,70000000,55000,15000,1,15000,15000,2,10000,70000,7800000,,,,,200,3,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR,256Mb,x8,Hynix,0,0,HY5DU56822E(L)FP-H,32,8,2,13,10,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,7800000,,,,,100,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,256Mb,x8,Hynix,0,0,HY5DU56822E(L)FP-J,32,8,2,13,10,42000,70000000,60000,18000,1,15000,18000,2,12000,72000,7800000,,,,,133,2,166,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,256Mb,x8,Hynix,0,0,HY5DU56822E(L)FP-K,32,8,2,13,10,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,7800000,,,,,133,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,256Mb,x8,Hynix,0,0,HY5DU56822E(L)FP-L,32,8,2,13,10,50000,120000000,70000,20000,1,15000,20000,2,15000,80000,7800000,,,,,100,2,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR,512Mb,x16,Hynix,0,0,HY5DU121622D(L)TP-D43,32,16,2,13,10,40000,70000000,55000,15000,1,15000,15000,2,10000,70000,7800000,,,,,200,3,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR,512Mb,x16,Hynix,0,0,HY5DU121622D(L)TP-J,32,16,2,13,10,42000,70000000,60000,18000,1,15000,18000,2,12000,72000,7800000,,,,,133,2,166,2.5,166,3,0,0,1,1,1,1,1
Discrete,DDR,512Mb,x16,Hynix,0,0,HY5DU121622D(L)TP-K,32,16,2,13,10,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,7800000,,,,,133,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,512Mb,x16,Hynix,0,0,HY5DU121622D(L)TP-H,32,16,2,13,10,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,7800000,,,,,100,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,512Mb,x16,Hynix,0,0,HY5DU121622D(L)TP-L,32,16,2,13,10,50000,120000000,70000,20000,1,15000,20000,2,15000,80000,7800000,,,,,100,2,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR,512Mb,x8,Hynix,0,0,HY5DU12822D(L)TP-D43,64,8,2,13,11,40000,70000000,55000,15000,1,15000,15000,2,10000,70000,7800000,,,,,200,3,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR,512Mb,x8,Hynix,0,0,HY5DU12822D(L)TP-J,64,8,2,13,11,42000,70000000,60000,18000,1,15000,18000,2,12000,72000,7800000,,,,,133,2,166,2.5,166,3,0,0,1,1,1,1,1
Discrete,DDR,512Mb,x8,Hynix,0,0,HY5DU12822D(L)TP-K,64,8,2,13,11,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,7800000,,,,,133,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,512Mb,x8,Hynix,0,0,HY5DU12822D(L)TP-H,64,8,2,13,11,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,7800000,,,,,100,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,512Mb,x8,Hynix,0,0,HY5DU12822D(L)TP-L,64,8,2,13,11,50000,120000000,70000,20000,1,15000,20000,2,15000,80000,7800000,,,,,100,2,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AF-C3,32,16,2,13,10,45000,70000000,56250,11250,,15000,11250,2,10000,105000,7800000,0,2,7500,7500,266,3,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AF-C4,32,16,2,13,10,45000,70000000,60000,15000,,15000,15000,2,10000,105000,7800000,0,2,7500,7500,266,4,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AF-E3,32,16,2,13,10,40000,70000000,55000,15000,,15000,15000,2,10000,105000,7800000,0,2,10000,7500,200,3,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AFP-C3,32,16,2,13,10,45000,70000000,56250,11250,,15000,11250,2,10000,105000,7800000,0,2,7500,7500,266,3,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AFP-C4,32,16,2,13,10,45000,70000000,60000,15000,,15000,15000,2,10000,105000,7800000,0,2,7500,7500,266,4,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AFP-E3,32,16,2,13,10,40000,70000000,55000,15000,,15000,15000,2,10000,105000,7800000,0,2,10000,7500,200,3,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AFP-S5,32,16,2,13,10,45000,70000000,57250,12500,,15000,12500,2,10000,105000,7800000,0,2,7500,7500,400,5,0,0,0,0,0,0,1,1,1,1,1
